2015-04-05,62,57,67,57,78,38,91,1973,1982,0.02,0.1,2.61
2015-04-07,79,70,87,57,78,32,91,1971,1907,0,0.1,2.28
2015-04-10,68,61,74,58,79,31,92,1973,1963,1.74,0.11,2.57
2015-04-11,70,63,77,58,79,38,89,1989,1934,0.13,0.1,1.67
2015-04-15,71,60,81,59,80,38,90,1928,1944,0,0.1,3.05
2015-04-19,72,58,86,60,80,40,92,1901,1987,0.54,0.11,2.77
2015-04-20,67,59,74,61,81,39,93,2013,1987,0,0.11,2.7
2015-04-27,72,66,78,63,82,47,93,1978,1933,0.02,0.13,2.72
2015-04-28,64,56,71,63,82,47,95,1978,1987,0,0.12,3.76
2015-05-04,73,61,84,65,84,42,94,2013,1890,0,0.16,1.72
2015-05-05,73,63,82,65,84,49,94,1970,1906,0.13,0.17,3.6
2015-05-08,81,77,85,66,85,45,96,1892,1967,0,0.17,2.34
2015-05-12,74,69,79,67,85,50,92,1895,1967,0.56,0.16,5.27
2015-05-14,80,72,87,67,86,47,93,1971,1995,0.05,0.16,2.44
2015-05-18,80,73,86,68,87,50,95,1976,1890,0.24,0.15,6.16
2015-05-20,81,73,89,69,87,48,95,1894,2008,0.31,0.16,4.17
2015-05-25,77,66,88,70,88,56,95,1979,1927,4.34,0.16,4.34
2015-05-28,80,70,90,70,89,54,98,1901,1906,0,0.17,2.83
2015-06-02,79,68,90,71,90,55,100,1892,2011,0,0.17,4.03
2015-06-03,80,69,91,72,90,52,98,1970,1960,0,0.18,3.27
2015-06-10,84,74,94,73,91,57,100,1955,1902,0,0.19,2.92
2015-06-15,83,75,90,73,92,55,100,1903,2011,0.14,0.21,5.68
2015-06-19,83,76,90,74,92,64,101,1912,1934,0,0.22,4.43
2015-06-20,84,77,90,74,92,62,101,1976,1902,0.2,0.21,1.99
2015-06-21,86,78,93,74,92,59,100,1976,1998,0,0.21,2.04
2015-06-26,86,77,94,75,92,59,105,1974,2012,0.13,0.19,10.34
2015-06-28,82,73,90,75,93,59,102,1974,2009,2.24,0.19,2.98
